sharpe_ratio,cumulative_return,max_drawdown,win_rate,profit_factor,mean_return,n_trades,model,ic,fold
0.00036550300076482233,0.00013780100760130143,-0.34132058231777623,0.48911651728553135,1.0000623489508311,1.7644175109001462e-07,781,LinearRegression,-0.0026496427882388316,1
0.016105259264678585,0.006077194923193696,-0.33538118840218384,0.489769820971867,1.002748468382685,7.771349006641555e-06,782,Ridge,-0.0020636943801104254,1
2.5071478317020945,0.4842136740059175,-0.08486261050870836,0.582089552238806,1.544469579457305,0.001204511626880392,402,XGBoost,0.028743951656678812,1
2.349889667966293,0.4568152239954462,-0.12071098608433323,0.5728643216080402,1.4909617580171282,0.0011477769447121764,398,LightGBM,0.03331824200628615,1
1.8359522409990487,0.3180119228799317,-0.07252722385812768,0.554016620498615,1.3729460351898741,0.0008809194539610295,361,CatBoost,0.02896346509432004,1
1.7258457919767265,1.006875559174338,-0.17653809837625045,0.5605006954102921,1.324844811568947,0.001400383253371819,719,LinearRegression,0.06427310824693715,2
1.7045179424943548,0.997724143779982,-0.17147374088971568,0.5591098748261474,1.3218518186374675,0.0013876552764672907,719,Ridge,0.06625603352726299,2
0.8707244848007057,0.5521050567932272,-0.27294726811369735,0.5271210013908206,1.1510724504620864,0.0007678790775983689,719,XGBoost,0.052763801364256374,2
1.2333687701970935,0.7697545277640399,-0.18514146412647292,0.5354659248956884,1.2209789202918762,0.0010705904419527675,719,LightGBM,0.041418666602871725,2
1.955538320222938,1.15998768311878,-0.13589097991757482,0.5632823365785814,1.3704047502197072,0.0016133347470358554,719,CatBoost,0.10177275602380095,2
0.18481122742321104,0.1119666436530947,-0.3507089021522263,0.4965229485396384,1.0341457020910818,0.0001557255127303125,719,LinearRegression,0.006980793371271755,3
-0.021534855798084722,-0.013077060288147063,-0.3507089021522265,0.4937413073713491,0.9960944254662768,-1.8187844628855443e-05,719,Ridge,0.009365851770662525,3
-0.6556016710787335,-0.4271675936346875,-0.702500647290059,0.48678720445062584,0.8889343039893024,-0.0005941134821066585,719,XGBoost,-0.03582794254943686,3
1.1443245579870547,0.7530968083506066,-0.32792709190869496,0.5076495132127955,1.2292475109922065,0.0010474225429076586,719,LightGBM,0.04343619313518808,3
0.3635594036126612,0.23448719129557433,-0.3882404880267471,0.48678720445062584,1.0676804570817275,0.00032612961237214787,719,CatBoost,0.023701989582353318,3
0.31094590006413136,0.12829487716530694,-0.3375691434953076,0.4909596662030598,1.0597869861905755,0.0001784351560018177,719,LinearRegression,0.026593416980029268,4
0.41677553774734716,0.1709809512268735,-0.3024818006276684,0.48956884561891517,1.0812716287442448,0.00023780382646296734,719,Ridge,0.02786114159428006,4
0.31551089391070547,0.1164311512702889,-0.16402142614115633,0.47983310152990266,1.0609565487340689,0.00016193484182237678,719,XGBoost,0.020105753473111287,4
0.5939037263564622,0.2836984929853024,-0.13761411638677792,0.5104311543810849,1.1151630085742497,0.00039457370373477386,719,LightGBM,0.0929297299983387,4
-0.13007129475327883,-0.06082094239287349,-0.27942957466986523,0.4853963838664812,0.9765139321084579,-8.459101862708413e-05,719,CatBoost,0.030841695446686947,4
-0.19261427465725925,-0.10678184292972298,-0.36666000645439,0.4631432545201669,0.9662916632054396,-0.0001485143851595591,719,LinearRegression,0.019925273210461846,5
-0.03170607344508278,-0.017865604266813384,-0.3449512244687862,0.47009735744089015,0.9943533030375605,-2.484785016246646e-05,719,Ridge,0.025001305809754234,5
-0.28656199495575063,-0.17948453411452622,-0.49458723171644187,0.48956884561891517,0.951349263436604,-0.0002496307845820949,719,XGBoost,-0.009335742411465524,5
-0.24137064117611556,-0.14715827347931104,-0.5816663087447469,0.5034770514603616,0.9590821943273647,-0.00020467075588221286,719,LightGBM,0.023528271107843165,5
0.6615297155242867,0.4008007727648286,-0.26543117600993316,0.5132127955493742,1.1240748516674612,0.0005574419649024042,719,CatBoost,0.04349690167498116,5
